FACULTY             ,SUBJECT DESCRIPTION,SUBJECT CODE,NO,QUESTION,LEVEL,BT LEVEL,BT KEYWORDS
FAS,ADVERTISING AND SOCIETY,UAMA3063,522,Explain the anti-advertising consumer organizations culture. ,LOTS,COMPREHENSION,Explain
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,680,"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",LOTS,COMPREHENSION,"Explain, Give, Compare"
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,422,Discuss the TWO (2) steps of Crisis Management Performance (CMP) evaluation process. Provide an appropriate example for each step. ,LOTS,COMPREHENSION,"Discuss, Provide"
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,408,Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,LOTS,COMPREHENSION,"Identify, Elaborate"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,123,Explain FOUR (4) off-balance-sheet banking activities which are important but not recorded in a bank's balance sheet. ,LOTS,COMPREHENSION,Explain
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,110,Briefly explain THREE (3) main sources of banks earnings.,LOTS,COMPREHENSION,Explain
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1088,Briefly explain the mechanism of RNA interference. ,LOTS,COMPREHENSION,Explain
FAS,EDUCATIONAL TECHNOLOGY,UALN3033,584,Massive Open Online Course (MOOC) is a developing trend in media and technology. Predict the future of higher education with MOOC. ,LOTS,COMPREHENSION,Predict
FBF,OPERATIONS MANAGEMENT ,UBMM2013,296,Identify FIVE (5) strategies to make hypermarket retail layout to be more attractive in responding to customers' various shopping behaviors.,LOTS,COMPREHENSION,Identify
FBF,CORPORATE GOVERNANCE,UBML3033,214,State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,LOTS,COMPREHENSION,"State, Discuss"
FSC,ENZYMOLOGY I ,UDEE2134,953,Draw and label an activity temperature profile for mesophilic and thermophilic enzymes. Provide explanation to this phenomenon.,LOTS,COMPREHENSION,"Draw, Label, Provide"
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,688,"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",LOTS,COMPREHENSION,"Draw, Explain"
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,641,You are conducting a building survey for a 2 year old building where you reported premature building decay. Explain the possible factors that may cause these defects to the building owner. ,LOTS,COMPREHENSION,Explain
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1149,Briefly explain the main feature of the structures of dilute foams and concentrated foams. ,LOTS,COMPREHENSION,Explain
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1093,GenBank offers a few options for nucleotide sequence submissions. Name TWO available options and when are they used. ,LOTS,COMPREHENSION,Name
FAS,ADVERTISING AND SOCIETY,UAMA3063,514,Explain the consideration of pricing objectives in marketing mix. ,LOTS,COMPREHENSION,Explain
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1116,Highlight the importance of bioinformatics analysis in genomic studies. ,LOTS,COMPREHENSION,Highlight
FSC,ENZYMOLOGY I ,UDEE2134,955,Explain the TWO main factors that could affect enzyme catalytic efficiency.,LOTS,COMPREHENSION,Explain
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,146,Discuss ONE (1) limitation and benefit of duration. ,LOTS,COMPREHENSION,Discuss
FSC,BIOMOLECULES,UDBM1214,1198,Name FOUR enzymes in DNA replication and state their functions. ,LOTS,COMPREHENSION,"Name, State"
FSC,FARM ANIMAL BREEDING AND REPRODUCTION TECHNOLOGY ,UDAA3184,1012,Briefly describe FOUR common characteristics that are possessed by a wild animal before they could be considered for domestication. ,LOTS,COMPREHENSION,Describe
FSC,PLANT BIOCHEMISTRY,UDEE3213,959,"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",LOTS,COMPREHENSION,Discuss
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,265,State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,LOTS,COMPREHENSION,"State, Provide"
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,266,Discuss any FOUR (4) underlying principles of lean manufacturing approach. ,LOTS,COMPREHENSION,Discuss
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,189,Define Put-Call Parity and express it in equation. ,LOTS,COMPREHENSION,"Define, Express"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,138,Explain what a junk bond is and its role in the financial market. ,LOTS,COMPREHENSION,Explain
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,567,Thomas (1976) has identified five styles in resolving a conflict such as avoidance. Explain the other FOUR (4) styles in resolving a conflict. ,LOTS,COMPREHENSION,Explain
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,17,Explain types of price discriminations.,LOTS,COMPREHENSION,Explain
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1185,Briefly explain how aggregation processes could improve the water quality in a water treatment plant. ,LOTS,COMPREHENSION,Explain
FSC,SOIL SCIENCE ,UDAA2134,1055,Write a short note about mulch and how mulching could help in controlling soil temperature. ,LOTS,COMPREHENSION,Write
FEGT,BUILDING ECONOMICS ,UGBA3513 ,617,"In their efforts to achieve their macroeconomic objectives, all governments, regardless of political persuasion, employ the same types of policy instrument. Discuss.",LOTS,COMPREHENSION,Discuss
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,60,List and explain the reason why the aggregate demand curve is downward slopping.,LOTS,COMPREHENSION,"List, Explain"
FSC,FARM ANIMAL BREEDING AND REPRODUCTION TECHNOLOGY ,UDAA3184,1016,Give TWO examples how breeding is similar to natural selection. ,LOTS,COMPREHENSION,Give
FEGT,CONSTRUCTION MATERIALS ,UGBA1113  ,766,Provide FOUR (4) reasons of using aggregate in concrete production. ,LOTS,COMPREHENSION,Provide
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,887,Explain THREE (3) conditions where cantilever scaffolding is applied. ,LOTS,COMPREHENSION,Explain
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1134,"Explain why bogs are considered to be a ""carbon sink"". ",LOTS,COMPREHENSION,Explain
FBF,ELECTRONIC MARKETING,UBTM3123,234,"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",LOTS,COMPREHENSION,Explain
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,112,"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",LOTS,COMPREHENSION,Elaborate
FAS,ADVERTISING AND SOCIETY,UAMA3063,515,Mass media regularly use women in the mediuin of marketing and advertising. Discuss the possible negative consequences for various segments of the population and society. ,LOTS,COMPREHENSION,Discuss
FSC,SOIL SCIENCE ,UDAA2134,1077,Explain why higher rates of nitrogen might be required for no tillage compared to conventional tillage. ,LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,662,Describe the THREE (3) causes of concrete blister. ,LOTS,COMPREHENSION,Describe
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,149,Briefly explain FOUR (4) advantages and disadvantages of option trading. ,LOTS,COMPREHENSION,Explain
FSC,SOIL SCIENCE ,UDAA2134,1041,Discuss why the fertility program for potted plants is different from field crops. ,LOTS,COMPREHENSION,Discuss
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,151,Explain FOUR (4) benefits of mutual fund investment. ,LOTS,COMPREHENSION,Explain
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1156,Give TWO functions of egg yolks in mayonnaise production. ,LOTS,COMPREHENSION,Give
FSC,SOIL SCIENCE ,UDAA2134,1053,Explain the role of mesofauna in the decay of fresh organic matter.,LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,643,In a building there is always concern with fire safety. List what aspects you would assess in order to achieve strict compliance in the building design. ,LOTS,COMPREHENSION,List
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,677,"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",LOTS,COMPREHENSION,"Draw, Label, Discuss"
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,356,"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",LOTS,COMPREHENSION,Explain
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,310,Explain FIVE (5) disadvantages of out-of-home (OOH) advertising. ,LOTS,COMPREHENSION,Explain
FBF,ELECTRONIC MARKETING,UBTM3123,237,Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,LOTS,COMPREHENSION,Discuss
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,3,Define profit. Briefly explain how accounting profit is different from economic profit.,LOTS,COMPREHENSION,"Define, Explain"
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,311,Explain FOUR (4) benefits of using Digital-Out-Of-Home in advertising. ,LOTS,COMPREHENSION,Explain
FSC,ENZYMOLOGY I ,UDEE2134,907,"Enzyme therapy is applied clinically to treat Gaucher disease. Describe the cause of the disease, the therapeutic enzyme and its function. ",LOTS,COMPREHENSION,Describe
FSC,BIOMOLECULES,UDBM1214,1194,Name the two classes of monosaccharide. Draw and name the simplest structure of molecule in each class. ,LOTS,COMPREHENSION,"Name, Draw, Name "
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1139,Define “biogeochemical cycling” and discuss its importance to the ecosystem and survival of living organisms. ,LOTS,COMPREHENSION,"Define, Discuss"
FAS,EDUCATIONAL TECHNOLOGY,UALN3033,585,Each of the FOUR (4) different historical perspectives have a unique outlook on Educational Technology and defines it in a slightly different way. List and discuss the FOUR (4) perspectives. ,LOTS,COMPREHENSION,"List, Discuss "
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,120,Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,LOTS,COMPREHENSION,"Identify, Explain"
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,261,Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,LOTS,COMPREHENSION,Discuss
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,59,Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,LOTS,COMPREHENSION,Explain
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,135,Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,LOTS,COMPREHENSION,Elaborate
FAS,EDUCATIONAL TECHNOLOGY,UALN3033,573,"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,891,IBS components can be divided into five broad categories. Briefly describe with examples all FIVE (5) categories. ,LOTS,COMPREHENSION,Describe
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,90,Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,LOTS,COMPREHENSION,Explain
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,136,"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,648,Discuss FOUR (4) common modern construction problems to anticipate. ,LOTS,COMPREHENSION,Discuss
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,357,Explain briefly 'designer' and 'professional designer'.,LOTS,COMPREHENSION,Explain
FSC,ENZYMOLOGY I ,UDEE2134,929,Chymotrypsin belongs to serine protease family. Describe the catalytic mechanism of chymotrypsin emphasizing the role of the catalytic triad and substrate binding site in catalysis. ,LOTS,COMPREHENSION,Describe
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1183,Give TWO advantages of X-Ray Photoelectron Spectroscopy (XPS). ,LOTS,COMPREHENSION,Give
FEGT,APPLIED HYDRAULICS ,UGNA3023 ,867,Classify and briefly explain different computational methods used in analyzing flows in hydraulic engineering. ,LOTS,COMPREHENSION,"Classify, Explain"
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,344,Draw a color wheel diagram with primary and secondary color. ,LOTS,COMPREHENSION,Draw
FSC,WEED SCIENCE ,UDAA3243,981,Give THREE examples of symptoms that resemble herbicide damage on plants. ,LOTS,COMPREHENSION,Give
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,127,Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,LOTS,COMPREHENSION,Illustrate
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1125,State the significance of “Score” in the BlastX alignment. ,LOTS,COMPREHENSION,State
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,99,Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,LOTS,COMPREHENSION,"Describe, Provide"
FBF,OPERATIONS MANAGEMENT ,UBMM2013,287,ABC inventory analysis is one of the methods used by manufacturing companies for effective inventory management. Explain your answer. ,LOTS,COMPREHENSION,Explain
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,698,Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,LOTS,COMPREHENSION,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,83,"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",LOTS,COMPREHENSION,Explain
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1155,Give TWO disadvantages of Transmission Electron Microscopy (TEM). ,LOTS,COMPREHENSION,Give
FAS,EDUCATIONAL TECHNOLOGY,UALN3033,595,Categorize the basic concepts of multimedia with an example for each. ,LOTS,COMPREHENSION,Categorize
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,10,Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,LOTS,COMPREHENSION,"Illustrate, Explain"
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1131,List and explain THREE factors that are affecting microbial biodegradation rates of petroleum hydrocarbon. ,LOTS,COMPREHENSION,"List, Explain"
FSC,BIOMOLECULES,UDBM1214,1195,Write short notes on the structure and functions of polysaccharides by giving relevant example. ,LOTS,COMPREHENSION,Write
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,406,Illustrate the stages of product approach of teaching ESL writing. Use appropriate examples. ,LOTS,COMPREHENSION,"Illustrate, Use"
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1175,Describe the electrokinetic phenomenon. ,LOTS,COMPREHENSION,Describe
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,259,Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,LOTS,COMPREHENSION,"Explain, Identify"
FEGT,BUILDING ECONOMICS ,UGBA3513 ,637,National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain EIGHT (8) significant factors of national income accounting. ,LOTS,COMPREHENSION,Explain
FEGT,BUILDING ECONOMICS ,UGBA3513 ,615,Explain the basic concepts in construction economics as introduced by Myers (2017).,LOTS,COMPREHENSION,Explain
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1141,Explain why hazard identification in the case of pathogens is complicated. ,LOTS,COMPREHENSION,Explain
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,165,"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",LOTS,COMPREHENSION,Discuss
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,883,Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,LOTS,COMPREHENSION,Explain
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,552,Informal communication network roles are equally important as formal ones. Describe any FOUR (4) of the influential roles and discuss the benefits each of the roles can bring to organizations. ,LOTS,COMPREHENSION,"Describe, Discuss"
FSC,FARM ANIMAL BREEDING AND REPRODUCTION TECHNOLOGY ,UDAA3184,1024,Briefly describe how poultry sexing is commonly carried out in a hatchery. ,LOTS,COMPREHENSION,Describe
FSC,ENVIRONMENTAL MICROBIOLOGY ,UDBM3224,1133,Describe the circumstances when tertiary treatment of wastewater is necessary. ,LOTS,COMPREHENSION,Describe
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1154,Briefly explain the Auger process. ,LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,893,"Compare the gravity retaining wall, semi gravity retaining wall and cantilever retaining wall in the aspects of shape design, maximum height and method of construction. ",LOTS,COMPREHENSION,Compare
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,85,"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",LOTS,COMPREHENSION,Discuss
FAS,DESIGN FUNDAMENTALS II ,UAMA1043,372,Draw a Picture Window layout design. ,LOTS,COMPREHENSION,Draw
FBF,CORPORATE GOVERNANCE,UBML3033,209,Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,LOTS,COMPREHENSION,Provide
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1092,Describe briefly the experimental flow of fluorescent in situ hybridization (FISH). List THREE of its major applications. ,LOTS,COMPREHENSION,"Describe, List"
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,114,Briefly explain what a Repo is. ,LOTS,COMPREHENSION,Explain
FEGT,BUILDING ECONOMICS ,UGBA3513 ,603,Elaborate the term of national income as used in building economics.,LOTS,COMPREHENSION,Elaborate
FSC,ENZYMOLOGY I ,UDEE2134,926,Name two super secondary structures found within enzymes which involved formation of a-helices. Describe how the a-helices could be maintained in an enzyme. ,LOTS,COMPREHENSION,"Name, Describe"
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,559,Explain TWO characteristics of rich media. ,LOTS,COMPREHENSION,Explain
FBF,ACCOUNTING INFORMATION SYSTEMS,UBAI2023,260,Cost benefit analysis is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,LOTS,COMPREHENSION,Explain
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,420,Explain FIVE (5) key components of organization crisis definition.,LOTS,COMPREHENSION,Explain
FAS,ADVERTISING AND SOCIETY,UAMA3063,507,The Political-Legal Environment of the Home Country is included In International marketing and advertising. Explain the Trade Sanctions and Export and Import Controls. ,LOTS,COMPREHENSION,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,41, List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,LOTS,COMPREHENSION,"List, Explain"
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,402,"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",LOTS,COMPREHENSION,"Name, Explain"
FAS,EDUCATIONAL TECHNOLOGY,UALN3033,588,Interpret FIVE (5) emerging trends of technology application in education. ,LOTS,COMPREHENSION,Interpret
FAS,LANGUAGE TEACHING METHODOLOGY,UALG2003,396,List and discuss briefly FIVE (5) learner-related factors when conducting an English lesson to a class of Form Two students. ,LOTS,COMPREHENSION,"List, Discuss"
FEGT,DIGITAL INTEGRATED CIRCUIT DESIGN ,UGEA2223 ,837,Oxidation is one of the most important thermal processes. Briefly explain the TWO (2) types of oxidation process. ,LOTS,COMPREHENSION,Explain
FSC,ENZYMOLOGY I ,UDEE2134,908,State the advantage of applying each step in the purification scheme. ,LOTS,COMPREHENSION,State
FBF,CORPORATE GOVERNANCE,UBML3033,216,State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 “corporate governance' definition in details. ,LOTS,COMPREHENSION,"State, Explain"
FAS,ORGANIZATIONAL COMMUNICATION ,UAMP3034,546,"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",LOTS,COMPREHENSION,"Discuss, Provide"
FBF,PORTFOLIO MANAGEMENT ,UBFF3283,160,The option's premium represents the price of the option that change over time. Discuss FOUR (4) factors that affecting premium of an option.,LOTS,COMPREHENSION,Discuss
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,101,Give THREE (3) examples of common uses of standby letter of credit. ,LOTS,COMPREHENSION,Give
FEGT,DIGITAL INTEGRATED CIRCUIT DESIGN ,UGEA2223 ,860,Discuss the disadvantages of LOCOS. ,LOTS,COMPREHENSION,Discuss
FSC,WEED SCIENCE ,UDAA3243,984,Weeds reduce the quality of crops and livestock. Explain. ,LOTS,COMPREHENSION,Explain
FSC,WEED SCIENCE ,UDAA3243,989,Discuss issues of defining “weeds”. ,LOTS,COMPREHENSION,Discuss
FSC,FARM ANIMAL BREEDING AND REPRODUCTION TECHNOLOGY ,UDAA3184,1003,Give ONE common crossbreed for porker production in Malaysia and name the state in Peninsular Malaysia that has the highest production rate. ,LOTS,COMPREHENSION,"Give, Name"
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,409,Discuss FOUR (4) tactics that can be used by a spokesperson to handle different types of questions from the media. Provide your discussions with an appropriate example for each tactic. ,LOTS,COMPREHENSION,"Discuss, Provide"
FBF,"PRINCIPLES OF
MICROECONOMICS",UBEA1063,26,Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,LOTS,COMPREHENSION,"Describe, explain"
FAS,PHYSIOLOGICAL PSYCHOLOGY ,UAPP2073,443,Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,LOTS,COMPREHENSION,Discuss
FEGT,CONSTRUCTION MATERIALS ,UGBA1113  ,769,Describe the significance of concrete as a primary material in today's construction. ,LOTS,COMPREHENSION,Describe
FSC,ENZYMOLOGY I ,UDEE2134,904,Describe the principles of a coupled enzyme assay. ,LOTS,COMPREHENSION,Describe
FBF,FINANCIAL MARKETS AND INSTITUTIONS,UBFB3043,121,Discuss FOUR (4) economic roles of money market. ,LOTS,COMPREHENSION,Discuss
FBF,OPERATIONS MANAGEMENT ,UBMM2013,282,Discuss the importance of Philip Crosby's suggestion on “do it right the first time” by manufacturing company. ,LOTS,COMPREHENSION,Discuss
FEGT,SOLID STATE ELECTRONICS ,UGEA3343 ,679,Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,LOTS,COMPREHENSION,Explain
FBF,PRINCIPLES OF MACROECONOMICS ,UBEA1073,57,List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,LOTS,COMPREHENSION,"List, Explain"
FAS,INTRODUCTION TO ADVERTISING ,UAMA1004,309,Explain FIVE (5) advantages of out-of-home (OOH) advertising.,LOTS,COMPREHENSION,Explain
FEGT,BUILDING ECONOMICS ,UGBA3513 ,620,Describe SIX (6) factors that are affecting supply in the construction industry. ,LOTS,COMPREHENSION,Describe
FAS,CRISIS COMMUNICATION IN PUBLIC RELATIONS,UAMP2034,412,Identify FOUR (4) types of key publics that McDonald's Malaysia has to notify about the crisis. Explain your answer with appropriate example for each of the publics. ,LOTS,COMPREHENSION,"Identify, Explain"
FSC,COLLOID AND SURFACE CHEMISTRY ,UDEC2214,1179,Briefly explain and draw the structure of dilute foams and concentrated foams. ,LOTS,COMPREHENSION,"Explain, Draw"
FEGT,BUILDING TECHNOLOGY I ,UGBA1423 ,781,Elaborate on the design and production process including the rational and economic use of resources that influence the development of a building. ,LOTS,COMPREHENSION,Elaborate
FAS,DESIGN FUNDAMENTALS I ,UAMA1033,338,Sketch ONE (1) movement to show repetition in shape and color. ,LOTS,COMPREHENSION,Sketch
FEGT,DIGITAL INTEGRATED CIRCUIT DESIGN ,UGEA2223 ,831,Discuss the advantages of reducing the minimum feature size.,LOTS,COMPREHENSION,Discuss
FSC,FARM ANIMAL BREEDING AND REPRODUCTION TECHNOLOGY ,UDAA3184,1014,Give an example of trait and phenotype to describe a Belgian Blue. ,LOTS,COMPREHENSION,Give
FEGT,DIGITAL INTEGRATED CIRCUIT DESIGN ,UGEA2223 ,859,"With the aid of a diagram, explain LOCOS. ",LOTS,COMPREHENSION,Explain
FEGT,BUILDING TECHNOLOGY IV ,UGBA3123 ,651,Provide the objectives of building maintenance. ,LOTS,COMPREHENSION,Provide
FEGT,BUILDING TECHNOLOGY III,UGBA2124 ,897,Explain FIVE (5) characteristics of Industrialised Building System (IBS) in construction. ,LOTS,COMPREHENSION,Explain
FSC,GENOMICS AND BIOINFORMATICS ,UDBB3214,1097,"Comparing to the reference sequence, identify the functional elements to represent S2 and S3, respectively. ",LOTS,COMPREHENSION,Identify
